posizione,titolo,autore,url,rating,numero_recensioni,categoria,editore_anno,disponibilita
33,Nero come il mare,Charlotte McConaghy,https://www.ibs.it/nero-come-mare-libro-charlotte-mcconaghy/e/9791259678829,3,7,Narrativa straniera,"Fazi, 2026",Disponibilità immediata
34,L'eremo dei folli,Agnese Messina,https://www.ibs.it/eremo-dei-folli-libro-agnese-messina/e/9788811016496,4,1,Narrativa italiana,"Garzanti, 2026",Disponibilità immediata
35,L'alba dei leoni. La saga dei Florio,Stefania Auci,https://www.ibs.it/alba-dei-leoni-saga-dei-libro-stefania-auci/e/9788842935636,5,19,Narrativa italiana,"Nord, 2026",Disponibilità immediata
36,I colori delle emozioni. Ediz. a colori,Anna Llenas,https://www.ibs.it/colori-delle-emozioni-ediz-a-libro-anna-llenas/e/9788858019672,5,125,Bambini e ragazzi,"Gribaudo, 2018",Disponibilità immediata
37,Alzarsi all'alba,Mario Calabresi,https://www.ibs.it/alzarsi-all-alba-libro-mario-calabresi/e/9788804801818,4,8,Biografie,"Mondadori, 2026",Disponibilità immediata
38,I giorni di Vetro,Nicoletta Verna,https://www.ibs.it/giorni-di-vetro-libro-nicoletta-verna/e/9788806261368,5,70,Narrativa italiana,"Einaudi, 2024",Disponibile in 5 gg lavorativi
39,Paura non abbiamo. Le donne che hanno fatto la Repubblica,Serena Dandini,https://www.ibs.it/paura-non-abbiamo-donne-che-libro-serena-dandini/e/9788806273934,5,2,"Società, politica e comunicazione","Einaudi, 2026",Disponibilità immediata
40,La volta giusta,Lorenza Gentile,https://www.ibs.it/volta-giusta-libro-lorenza-gentile/e/9788807970078,5,14,Narrativa italiana,"Feltrinelli, 2025",Disponibilità immediata
41,Solaris,Stanislaw Lem,https://www.ibs.it/solaris-libro-stanislaw-lem/e/9788838929106,5,72,Narrativa straniera,"Sellerio Editore Palermo, 2013",Disponibilità immediata
42,Il cuculo di cristallo,Javier Castillo,https://www.ibs.it/cuculo-di-cristallo-libro-javier-castillo/e/2000000170657,0,0,Narrativa straniera,"TEA, 2026",Disponibilità immediata
43,The Witcher. Collector's edition. Vol. 1,Andrzej Sapkowski,https://www.ibs.it/the-witcher-collector-s-edition-libro-andrzej-sapkowski/e/9788842936039,0,0,Narrativa straniera,"Nord, 2026",Disponibile dal 25 settembre 2026
44,The Witcher. Collector's edition. Vol. 2,Andrzej Sapkowski,https://www.ibs.it/the-witcher-collector-s-edition-libro-andrzej-sapkowski/e/9788842936848,0,0,Narrativa straniera,"Nord, 2026",Disponibile dal 25 settembre 2026
45,The Witcher. Collector's edition. Vol. 3,Andrzej Sapkowski,https://www.ibs.it/the-witcher-collector-s-edition-libro-andrzej-sapkowski/e/9788842936855,0,0,Narrativa straniera,"Nord, 2026",Disponibile dal 25 settembre 2026
46,L'età fragile,Donatella Di Pietrantonio,https://www.ibs.it/eta-fragile-libro-donatella-di-pietrantonio/e/9788806255787,4,71,Narrativa italiana,"Einaudi, 2024",Disponibile in 5 gg lavorativi
47,L'ultimo turno,Chris Pavone,https://www.ibs.it/ultimo-turno-libro-chris-pavone/e/9788807037139,4,8,Narrativa straniera,"Feltrinelli, 2026",Disponibile dal 4 settembre 2026
48,Tutta la vita che resta,Roberta Recchia,https://www.ibs.it/tutta-vita-che-resta-libro-roberta-recchia/e/9788817183499,5,85,Narrativa italiana,"Rizzoli, 2024",Disponibilità immediata
49,La portalettere,Francesca Giannone,https://www.ibs.it/portalettere-libro-francesca-giannone/e/9788842934844,4,161,Narrativa italiana,"Nord, 2023",Disponibilità immediata
50,Non schiacciate quel bottone! Ediz. illustrata,Matilde Tacchini,https://www.ibs.it/non-schiacciate-quel-bottone-ediz-libro-matilde-tacchini/e/9791259582300,5,1,Bambini e ragazzi,"Nomos Edizioni, 2025",Disponibile in 5 gg lavorativi
51,La collana di cristallo,Cristina Caboni,https://www.ibs.it/collana-di-cristallo-libro-cristina-caboni/e/2000000170435,0,0,Narrativa italiana,"TEA, 2026",Disponibilità immediata
52,Cesare. La conquista dell'eternità,Alberto Angela,https://www.ibs.it/cesare-conquista-dell-eternita-libro-alberto-angela/e/9788804810995,5,14,Storia e archeologia,"Mondadori, 2026",Disponibilità immediata
53,Platone. Una storia d'amore,Matteo Nucci,https://www.ibs.it/platone-storia-d-amore-libro-matteo-nucci/e/9788807036736,3,14,Narrativa italiana,"Feltrinelli, 2025",Disponibilità immediata
54,Comunismo. Un'altra storia,Luciano Canfora,https://www.ibs.it/comunismo-altra-storia-libro-luciano-canfora/e/9788807175619,5,1,"Società, politica e comunicazione","Feltrinelli, 2026",Disponibilità immediata
55,Puoi. Ediz. a colori,Carmen Mateo,https://www.ibs.it/puoi-ediz-a-colori-libro-carmen-mateo/e/9788829608935,0,0,Bambini e ragazzi,"Emme Edizioni, 2026",Disponibilità immediata
56,Circe,Madeline Miller,https://www.ibs.it/circe-libro-madeline-miller/e/9788829705320,5,195,Narrativa straniera,"Marsilio, 2021",Disponibilità immediata
57,La scala di seta,Marco Malvaldi,https://www.ibs.it/scala-di-seta-libro-marco-malvaldi-samantha-bruzzone/e/9788838950353,0,0,Narrativa italiana,"Sellerio Editore Palermo, 2026",Disponibile dal 8 settembre 2026
58,L'avversario,Emmanuel Carrère,https://www.ibs.it/avversario-libro-emmanuel-carrere/e/9788845927867,4,176,Narrativa straniera,"Adelphi, 2013",Disponibile in 3 gg lavorativi
59,Unfair play. Ultimo tempo,Carrie Leighton,https://www.ibs.it/unfair-play-ultimo-tempo-libro-carrie-leighton/e/9791259576521,0,0,Narrativa erotica e rosa,"Magazzini Salani, 2026",Disponibilità immediata
60,Lo sbilico,Alcide Pierantozzi,https://www.ibs.it/sbilico-libro-alcide-pierantozzi/e/9788806266448,4,27,Narrativa italiana,"Einaudi, 2025",Disponibilità immediata
61,Il treno per Istanbul,Graham Greene,https://www.ibs.it/treno-per-istanbul-libro-graham-greene/e/9788838939815,4,24,"Gialli, thriller, horror","Sellerio Editore Palermo, 2019",Disponibilità immediata
62,Virdimura,Simona Lo Iacono,https://www.ibs.it/virdimura-libro-simona-lo-iacono/e/2000000170558,0,0,Narrativa italiana,"TEA, 2026",Disponibilità immediata
63,Le otto vite di una centenaria senza nome,Mirinae Lee,https://www.ibs.it/otto-vite-di-centenaria-senza-libro-mirinae-lee/e/2000000170633,0,0,Narrativa straniera,"TEA, 2026",Disponibilità immediata
